domain,size,members,mean_acc,mean_rho,n_eff,evidence,plurality_acc,n_items,strict_acc,n_items_strict
science,5,bytedance_seed+deepseek_v4+gemini_pro+glm_46+qwen_3,0.8743426625658348,0.5508136603319602,1.5609124343381444,6.457710584589974,0.9053333333333332,250,0.9429530201342282,149
science,5,bytedance_seed+deepseek_v4+gemini_pro+gpt5_mini+kimi_k2,0.8846156743155194,0.47684746067090894,1.7197556126098321,7.281633306721806,0.9026666666666666,250,0.945054945054945,182
science,5,bytedance_seed+deepseek_v4+gemini_pro+gpt5_mini+qwen_3,0.8847727700927166,0.5681258731955423,1.5278822500962934,6.471573446304368,0.9093333333333332,250,0.9423076923076923,182
science,5,bytedance_seed+deepseek_v4+gemini_pro+kimi_k2+qwen_3,0.8823522998299227,0.5253819974654721,1.6121086175406887,6.790397238645535,0.9053333333333332,250,0.9295454545454546,220
science,5,bytedance_seed+deepseek_v4+glm_46+gpt5_mini+kimi_k2,0.8984827555436576,0.5256433235997754,1.6115654734172484,7.054955669558565,0.9026666666666666,250,0.9492753623188406,138
science,5,bytedance_seed+deepseek_v4+glm_46+gpt5_mini+qwen_3,0.8986398513208549,0.6036420869402059,1.4643139310064937,6.412855846388545,0.9016666666666666,250,0.9492753623188406,138
science,5,bytedance_seed+deepseek_v4+glm_46+kimi_k2+qwen_3,0.896219381058061,0.5701315639493307,1.5241457041119653,6.634805253694968,0.905,250,0.9463087248322147,149
science,5,bytedance_seed+deepseek_v4+gpt5_mini+kimi_k2+qwen_3,0.9066494885849427,0.5817578898050831,1.5028411696737005,6.718630516945248,0.91,250,0.9398907103825137,183
science,5,bytedance_seed+gemini_pro+glm_46+gpt5_mini+kimi_k2,0.8761855667886376,0.48829873792499245,1.6930815885086803,7.033092311295438,0.8986666666666666,250,0.9460431654676259,139
science,5,bytedance_seed+gemini_pro+glm_46+gpt5_mini+qwen_3,0.8763426625658349,0.5597496922065901,1.543686909708747,6.414740670075943,0.9013333333333332,250,0.9388489208633094,139
science,5,bytedance_seed+gemini_pro+glm_46+kimi_k2+qwen_3,0.873922192303041,0.5359044333880961,1.5905241743085112,6.5741401098490275,0.9,250,0.9375,152
